chain_symbol,expiration_date,strike_price,option_type,side,order_created_at,direction,order_quantity,order_type,opening_strategy,closing_strategy,price,processed_quantity
MSFT,2021-10-29,300.0000,call,sell,2021-10-28T14:15:55.691435Z,credit,1.00000,limit,short_call,,22.05000000,1.00000
MSFT,2021-11-19,302.5000,call,buy,2021-10-28T14:13:27.991557Z,debit,1.00000,limit,,short_call,20.70000000,1.00000
MSFT,2021-11-19,302.5000,call,sell,2021-10-28T13:44:53.691895Z,credit,1.00000,limit,short_call,,21.15000000,1.00000
MSFT,2021-11-12,305.0000,call,buy,2021-10-28T13:43:41.834060Z,debit,1.00000,limit,,short_call,18.60000000,1.00000
VZ,2021-11-05,54.0000,call,sell,2021-10-27T18:30:36.717617Z,credit,1.00000,limit,short_call,,0.06000000,1.00000
MSFT,2021-11-12,305.0000,call,sell,2021-10-27T18:08:07.612798Z,credit,1.00000,limit,short_call,,21.40000000,1.00000
MSFT,2021-10-29,300.0000,call,buy,2021-10-27T18:07:16.955486Z,debit,1.00000,limit,,short_call,25.80000000,1.00000
HOOD,2021-10-29,34.0000,put,buy,2021-10-27T18:05:46.431340Z,debit,1.00000,limit,,short_put,0.25000000,1.00000
VZ,2021-10-29,54.0000,call,buy,2021-10-27T17:54:00.078651Z,debit,1.00000,limit,,short_call,0.02000000,1.00000
HOOD,2021-10-29,34.0000,put,sell,2021-10-27T17:01:39.834135Z,credit,1.00000,limit,short_put,,0.29000000,1.00000
VZ,2021-10-29,54.0000,call,sell,2021-10-25T14:30:07.359464Z,credit,1.00000,limit,short_call,,0.04000000,1.00000
VZ,2021-10-29,54.5000,call,buy,2021-10-25T14:29:38.422878Z,debit,1.00000,limit,,short_call,0.02000000,1.00000
VZ,2021-10-29,54.5000,call,sell,2021-10-22T14:02:57.261743Z,credit,1.00000,limit,short_call,,0.04000000,1.00000
VZ,2021-10-22,54.0000,call,buy,2021-10-22T14:02:29.206515Z,debit,1.00000,limit,,short_call,0.01000000,1.00000
SBUX,2021-10-29,114.0000,call,sell,2021-10-21T16:44:47.559591Z,credit,1.00000,limit,short_call,,2.32000000,1.00000
SBUX,2021-10-22,113.0000,call,buy,2021-10-21T16:44:27.975102Z,debit,1.00000,limit,,short_call,1.65000000,1.00000
VZ,2021-10-22,54.0000,call,sell,2021-10-18T14:45:12.210765Z,credit,1.00000,limit,short_call,,0.04000000,1.00000
VZ,2021-10-22,53.5000,call,buy,2021-10-18T14:44:38.953814Z,debit,1.00000,limit,,short_call,0.09000000,1.00000
VZ,2021-10-22,53.5000,call,sell,2021-10-15T16:36:23.399763Z,credit,1.00000,limit,short_call,,0.12000000,1.00000
VZ,2021-11-05,55.0000,call,buy,2021-10-15T16:18:22.010639Z,debit,1.00000,limit,,short_call,0.09000000,1.00000
MSFT,2021-10-29,300.0000,call,sell,2021-10-14T15:02:17.726393Z,credit,1.00000,limit,short_call,,5.85000000,1.00000
MSFT,2021-10-15,295.0000,call,buy,2021-10-14T15:00:54.088631Z,debit,1.00000,limit,,short_call,5.50000000,1.00000
SBUX,2021-10-22,113.0000,call,sell,2021-10-13T15:17:10.370837Z,credit,1.00000,limit,short_call,,0.36000000,1.00000
SBUX,2021-10-22,113.0000,call,buy,2021-10-13T14:47:55.999182Z,debit,1.00000,limit,,short_call,0.36000000,1.00000
SBUX,2021-10-22,113.0000,call,sell,2021-10-12T19:06:00.325891Z,credit,1.00000,limit,short_call,,0.72000000,1.00000
SBUX,2021-10-15,114.0000,call,buy,2021-10-12T18:07:18.906666Z,debit,1.00000,limit,,short_call,0.13000000,1.00000
VZ,2021-11-05,55.0000,call,sell,2021-10-12T13:55:40.916586Z,credit,1.00000,limit,short_call,,0.09000000,1.00000
VZ,2021-11-05,56.0000,call,buy,2021-10-12T13:55:10.133596Z,debit,1.00000,limit,,short_call,0.06000000,1.00000
VZ,2021-11-05,56.0000,call,sell,2021-10-11T14:23:53.906326Z,credit,1.00000,limit,short_call,,0.09000000,1.00000
VZ,2021-10-22,55.5000,call,buy,2021-10-11T14:22:23.843621Z,debit,1.00000,limit,,short_call,0.05000000,1.00000
SBUX,2021-10-15,114.0000,call,sell,2021-10-08T17:08:31.287543Z,credit,1.00000,limit,short_call,,0.32000000,1.00000
SBUX,2021-10-08,114.0000,call,buy,2021-10-08T17:08:02.735256Z,debit,1.00000,limit,,short_call,0.03000000,1.00000
VZ,2021-10-22,55.5000,call,sell,2021-10-06T15:44:50.470486Z,credit,1.00000,limit,short_call,,0.12000000,1.00000
VZ,2021-10-15,55.5000,call,buy,2021-10-06T15:43:29.868690Z,debit,1.00000,limit,,short_call,0.04000000,1.00000
SBUX,2021-10-08,114.0000,call,sell,2021-10-05T15:46:07.140901Z,credit,1.00000,limit,short_call,,0.14000000,1.00000
SBUX,2021-10-15,114.0000,call,buy,2021-10-05T15:40:55.552610Z,debit,1.00000,limit,,short_call,0.47000000,1.00000
VZ,2021-10-15,55.5000,call,sell,2021-10-04T17:51:51.793614Z,credit,1.00000,limit,short_call,,0.08000000,1.00000
VZ,2021-10-08,55.5000,call,buy,2021-10-04T17:50:59.533374Z,debit,1.00000,limit,,short_call,0.04000000,1.00000
SBUX,2021-10-15,114.0000,call,sell,2021-10-04T17:48:22.944190Z,credit,1.00000,limit,short_call,,0.80000000,1.00000
