symbol,date,order_type,side,fees,quantity,average_price
RKT,2021-09-27T15:14:41.592000Z,market,sell,0.02,100.00000000,17.08140000
MSFT,2021-09-23T18:50:09.723000Z,market,buy,0.00,100.00000000,299.95650000
MSFT,2021-09-21T13:46:15.576000Z,market,sell,0.17,100.00000000,296.94660000
MSFT,2021-09-20T14:54:29.329000Z,limit,buy,0.00,100.00000000,294.57080000
MSFT,2021-09-20T13:38:24.219000Z,market,sell,0.17,100.00000000,297.67220000
MSFT,2021-09-20T13:30:03.687000Z,limit,buy,0.00,100.00000000,296.60000000
DISCA,2021-08-09T15:01:12.738000Z,market,sell,0.03,100.00000000,29.18230000
NVDA,2021-08-04T19:36:06.182000Z,market,sell,0.12,100.00000000,202.55000000
NVDA,2021-07-29T13:52:20.938000Z,market,buy,0.00,100.00000000,197.77840000
NVDA,2021-07-20T13:50:17.847000Z,market,buy,0.00,100.00000000,184.85300000
DISCA,2021-07-07T13:54:38.703000Z,market,buy,0.00,100.00000000,29.89870000
DISCA,2021-07-06T15:07:36.950000Z,market,sell,0.03,100.00000000,30.38110000
DISCA,2021-06-30T13:34:08.917000Z,market,buy,0.00,100.00000000,30.21000000
CRSR,2021-06-22T17:28:00.620000Z,limit,sell,0.01,50.00000000,31.70000000
CRSR,2021-06-22T17:21:11.170000Z,limit,buy,0.00,50.00000000,31.50000000
VZ,2021-06-21T13:35:04.029000Z,market,sell,0.04,100.00000000,56.03500000
KR,2021-06-18T17:07:50.437000Z,market,sell,0.03,100.00000000,38.79000000
VZ,2021-06-16T18:13:27.916000Z,limit,buy,0.00,50.00000000,56.79920000
VZ,2021-06-16T16:39:42.140000Z,limit,buy,0.00,50.00000000,57.05000000
CRSR,2021-06-11T14:44:47.321000Z,limit,sell,0.03,100.00000000,31.54000000
CRSR,2021-06-10T15:23:21.446000Z,market,buy,0.00,100.00000000,31.27720000
CRSR,2021-06-09T18:26:10.139000Z,limit,sell,0.01,50.00000000,32.00000000
CRSR,2021-06-09T16:20:20.441000Z,limit,buy,0.00,50.00000000,31.60000000
CRSR,2021-06-08T14:36:50.499000Z,limit,sell,0.01,40.00000000,31.80000000
CRSR,2021-06-08T13:47:45.429000Z,limit,buy,0.00,40.00000000,31.60000000
CRSR,2021-06-07T19:51:27.475000Z,limit,sell,0.01,20.00000000,31.80000000
CRSR,2021-06-07T19:36:53.746000Z,market,buy,0.00,20.00000000,31.54000000
KR,2021-05-27T13:50:40.723000Z,market,sell,0.01,20.00000000,37.03350000
GPRO,2021-05-26T19:45:09.223000Z,market,sell,0.02,100.00000000,11.51340000
KR,2021-05-26T15:05:43.918000Z,market,buy,0.00,20.00000000,36.47900000
PLTR,2021-05-26T13:54:01.685000Z,limit,sell,0.00,20.00000000,22.00000000
PLTR,2021-05-25T18:46:27.694000Z,market,buy,0.00,20.00000000,21.66000000
AAPL,2021-05-17T14:41:45.249000Z,limit,buy,0.00,100.00000000,126.33000000
GPRO,2021-05-14T18:33:43.094000Z,market,buy,0.00,100.00000000,9.84590000
AAPL,2021-05-14T13:59:06.959000Z,limit,buy,0.00,100.00000000,126.30000000
KR,2021-05-11T13:33:41.402000Z,market,buy,0.00,100.00000000,38.96000000
VZ,2021-05-10T13:57:16.624000Z,market,buy,0.00,100.00000000,59.54000000
CLOV,2021-04-28T14:15:14.713000Z,market,sell,0.02,100.00000000,10.14500000
RKT,2021-04-23T19:43:35.711000Z,market,sell,0.03,100.00000000,22.16250000
VZ,2021-04-23T16:51:41.045000Z,limit,sell,0.04,100.00000000,57.40000000
VZ,2021-04-22T18:55:24.428000Z,market,buy,0.00,100.00000000,57.24580000
RKT,2021-04-22T16:08:25.952000Z,market,sell,0.00,5.00000000,22.20000000
VZ,2021-04-22T16:55:31.637000Z,limit,sell,0.04,100.00000000,57.57000000
VZ,2021-04-22T15:45:20.619000Z,market,buy,0.00,100.00000000,57.36760000
KO,2021-04-21T15:09:09.457000Z,market,sell,0.04,100.00000000,54.44000000
RKT,2021-04-21T14:30:26.969000Z,limit,buy,0.00,5.00000000,21.34000000
CRSR,2021-04-15T19:08:06.288000Z,market,sell,0.00,5.00000000,34.05000000
RKT,2021-04-14T15:13:07.049000Z,market,buy,0.00,100.00000000,22.56500000
TSLA,2021-04-12T18:58:13.587731Z,market,sell,0.00,0.01428800,700.58790000
RKT,2021-04-09T14:58:50.745000Z,market,buy,0.00,100.00000000,22.48710000
GOLD,2021-04-07T13:34:49.192000Z,market,sell,0.03,100.00000000,20.67260000
AAPL,2021-04-06T19:38:24.516000Z,limit,buy,0.00,88.00000000,126.39820000
KO,2021-03-29T17:54:48.550000Z,market,buy,0.00,100.00000000,53.74640000
DBX,2021-03-26T17:50:43.314000Z,market,sell,0.03,100.00000000,26.27980000
PLTR,2021-03-22T13:49:56.834000Z,market,buy,0.00,100.00000000,24.35000000
CRSR,2021-03-11T18:48:02.152000Z,market,sell,0.00,1.00000000,33.64000000
CRSR,2021-03-10T19:05:39.737000Z,market,buy,0.00,1.00000000,32.87000000
DBX,2021-03-10T14:35:11.248000Z,market,buy,0.00,100.00000000,24.73780000
GOLD,2021-03-09T14:49:02.956000Z,market,buy,0.00,100.00000000,20.29500000
CRSR,2021-03-08T14:45:22.804000Z,market,sell,0.00,1.00000000,33.38000000
CRSR,2021-03-04T19:16:43.781000Z,market,buy,0.00,1.00000000,31.78000000
TSLA,2021-03-02T18:36:54.513000Z,market,buy,0.00,0.01428800,699.88800000
CRSR,2021-03-02T15:26:36.753000Z,limit,sell,0.00,5.00000000,37.00000000
AAPL,2021-03-02T15:17:30.505000Z,market,sell,0.00,2.00000000,126.81000000
TSLA,2021-03-01T19:54:10.909968Z,market,sell,0.00,0.14634400,712.84100000
CRSR,2021-02-26T16:59:56.598000Z,market,buy,0.00,5.00000000,36.76800000
TSLA,2021-02-25T20:58:43.663216Z,market,buy,0.00,0.14634400,683.32150000
AAPL,2021-02-25T20:41:58.866000Z,market,buy,0.00,1.00000000,120.76000000
CRSR,2021-02-24T15:36:56.714000Z,market,buy,0.00,5.00000000,38.97000000
AAPL,2021-02-23T15:31:50.506000Z,market,buy,0.00,1.00000000,122.73000000
MARA,2021-02-22T18:14:08.456000Z,market,sell,0.10,100.00000000,37.35000000
MARA,2021-02-22T18:10:07.487000Z,market,sell,0.10,100.00000000,37.53610000
AAPL,2021-02-22T17:41:41.857000Z,market,buy,0.00,1.00000000,127.06000000
